experiment_id,prompt,output_path,human_target_emotion,original_classifier_prediction,output_classifier_prediction,output_confidence,original_target_probability,output_target_probability,target_probability_change,original_trpakov_target_probability,original_mothecreator_target_probability,original_ensemble_target_probability,output_trpakov_target_probability,output_mothecreator_target_probability,output_ensemble_target_probability,ensemble_target_probability_change,emotion_distribution_similarity,emotion_l1_distance,face_detected,face_count,insightface_similarity,T_steps,tar_guidance_scale,n_min,n_max,privacy_score,target_emotion_score,distribution_score,combined_score
0,hp_0,/content/FlowEdit/outputs/FlowEdit_HP_0/SD3/src_angry/tar_0/output_T_steps_40_n_avg_1_cfg_enc_3.5_cfg_dec10.0_n_min_0_n_max_28_seed42.png,angry,angry,angry,0.991134524345398,0.977959007024765,0.9687908887863159,-0.009168118238449097,0.990447998046875,0.965470016002655,0.977959007024765,0.991134524345398,0.9464472532272339,0.9687908887863159,-0.009168118238449097,0.9999529421329498,0.024021074874326587,True,1,0.28855887055397034,40,10.0,0,28,0.578140858536319,0.846319836080656,0.9981273686989329,0.7408200494475321
1,hp_1,/content/FlowEdit/outputs/FlowEdit_HP_1/SD3/src_angry/tar_0/output_T_steps_40_n_avg_1_cfg_enc_3.5_cfg_dec10.0_n_min_0_n_max_33_seed42.png,angry,angry,angry,0.9918460249900818,0.977959007024765,0.9853501617908478,0.007391154766082764,0.990447998046875,0.965470016002655,0.977959007024765,0.9918460249900818,0.9788542985916138,0.9853501617908478,0.007391154766082764,0.9999608397483826,0.019180764444172382,True,1,0.20125046372413635,40,10.0,0,33,0.8133096388657467,0.9743309750382846,0.9984809885418787,0.904286375111002
2,hp_2,/content/FlowEdit/outputs/FlowEdit_HP_2/SD3/src_angry/tar_0/output_T_steps_40_n_avg_1_cfg_enc_3.5_cfg_dec13.5_n_min_0_n_max_28_seed42.png,angry,angry,angry,0.9867262840270996,0.977959007024765,0.926525741815567,-0.051433265209198,0.990447998046875,0.965470016002655,0.977959007024765,0.9867262840270996,0.8663251996040344,0.926525741815567,-0.051433265209198,0.9980044066905975,0.10746633866801858,True,1,0.19918248057365417,40,13.5,0,28,0.8188798364320424,0.5195899367392756,0.9108806797499328,0.6933994659020863
3,hp_3,/content/FlowEdit/outputs/FlowEdit_HP_3/SD3/src_angry/tar_0/output_T_steps_40_n_avg_1_cfg_enc_3.5_cfg_dec13.5_n_min_0_n_max_33_seed42.png,angry,angry,angry,0.991645872592926,0.977959007024765,0.9886706471443176,0.010711640119552612,0.990447998046875,0.965470016002655,0.977959007024765,0.991645872592926,0.9856954216957092,0.9886706471443176,0.010711640119552612,0.9999316930770874,0.024144446477293968,True,1,0.1319400817155838,40,13.5,0,33,1.0,0.9999999226951939,0.9971759311592333,0.9997175583287605
4,hp_4,/content/FlowEdit/outputs/FlowEdit_HP_4/SD3/src_angry/tar_0/output_T_steps_40_n_avg_1_cfg_enc_3.5_cfg_dec16.0_n_min_0_n_max_28_seed42.png,angry,angry,angry,0.9902371764183044,0.977959007024765,0.9458028972148895,-0.03215610980987549,0.990447998046875,0.965470016002655,0.977959007024765,0.9902371764183044,0.9013686180114746,0.9458028972148895,-0.03215610980987549,0.9991892278194427,0.06873404956422746,True,1,0.17480289936065674,40,16.0,0,28,0.8845472399156177,0.6686116128632895,0.9639316626788191,0.7953146500183901
5,hp_5,/content/FlowEdit/outputs/FlowEdit_HP_5/SD3/src_angry/tar_0/output_T_steps_40_n_avg_1_cfg_enc_3.5_cfg_dec16.0_n_min_0_n_max_33_seed42.png,angry,angry,angry,0.9915464520454407,0.977959007024765,0.987375408411026,0.009416401386260986,0.990447998046875,0.965470016002655,0.977959007024765,0.9915464520454407,0.9832043647766113,0.987375408411026,0.009416401386260986,0.999936044216156,0.023411242524161935,True,1,0.1567615270614624,40,16.0,0,33,0.9331424173232171,0.9899871047758734,0.997370755676479,0.9651453605122386
6,hp_6,/content/FlowEdit/outputs/FlowEdit_HP_6/SD3/src_angry/tar_0/output_T_steps_50_n_avg_1_cfg_enc_3.5_cfg_dec10.0_n_min_0_n_max_28_seed42.png,angry,angry,angry,0.9907159805297852,0.977959007024765,0.9550979733467102,-0.02286103367805481,0.990447998046875,0.965470016002655,0.977959007024765,0.9907159805297852,0.9194799661636353,0.9550979733467102,-0.02286103367805481,0.9992911219596863,0.051582295913249254,True,1,0.342075377702713,50,10.0,0,28,0.43399194813196185,0.7404670187139325,0.9684940258600714,0.6253559376666596
7,hp_7,/content/FlowEdit/outputs/FlowEdit_HP_7/SD3/src_angry/tar_0/output_T_steps_50_n_avg_1_cfg_enc_3.5_cfg_dec10.0_n_min_0_n_max_33_seed42.png,angry,angry,angry,0.9900915622711182,0.977959007024765,0.979122668504715,0.0011636614799499512,0.990447998046875,0.965470016002655,0.977959007024765,0.9900915622711182,0.9681537747383118,0.979122668504715,0.0011636614799499512,0.9999947547912598,0.007632094668224454,True,1,0.2819220721721649,50,10.0,0,33,0.5960173476100856,0.9261894589106939,0.9999995522447933,0.7849930181588302
8,hp_8,/content/FlowEdit/outputs/FlowEdit_HP_8/SD3/src_angry/tar_0/output_T_steps_50_n_avg_1_cfg_enc_3.5_cfg_dec13.5_n_min_0_n_max_28_seed42.png,angry,angry,angry,0.9912559986114502,0.977959007024765,0.981463223695755,0.0035042166709899902,0.990447998046875,0.965470016002655,0.977959007024765,0.9912559986114502,0.9716704487800598,0.981463223695755,0.0035042166709899902,0.9999914467334747,0.010772251524031162,True,1,0.209431454539299,50,13.5,0,28,0.7912738040390066,0.9442830754430277,0.9998514322351066,0.8809857389904262
9,hp_9,/content/FlowEdit/outputs/FlowEdit_HP_9/SD3/src_angry/tar_0/output_T_steps_50_n_avg_1_cfg_enc_3.5_cfg_dec13.5_n_min_0_n_max_33_seed42.png,angry,angry,angry,0.9904158115386963,0.977959007024765,0.9832922518253326,0.005333244800567627,0.990447998046875,0.965470016002655,0.977959007024765,0.9904158115386963,0.976168692111969,0.9832922518253326,0.005333244800567627,0.9999703764915466,0.015955365961417556,True,1,0.1884213089942932,50,13.5,0,33,0.847865494138137,0.9584223419427526,0.9989080011824172,0.912720326354642
